area,env,first,floor,house_name,location,name,price,second,title
28,"合租,朝南,有电梯",3,中层(共26层)                                                            ,,高新区-鱼化寨 鱼斗路,兴贺佳苑,500,1,月付直租 环普产业园 中软欧森华为 华大讯飞软件新城 雷家寨
36,"合租,朝南,有电梯,3/5号线",3,中层(共33层)                                                            ,,"高新区-大寨路 大寨路,近无名路",晶鑫华庭,900,2,减免一个月租金 晶鑫华庭 南向超大卧室带落地全景阳台 可月付
28,"合租,朝南,有电梯,6号线",4,低层(共33层)                                                            ,,高新区-科技六路 双水磨路,保利双水磨小区,680,1,月付 西安软件园 新长安广场 丈八北路 茶张馨苑 国宾中央区
15,"合租,朝南,有电梯,6号线",3,中层(共28层)                                                            ,,高新区-锦业路 锦业路36号,旗远锦樾,480,2,月付可短租都市之门绿地中心华陆大厦六号线丈八一路锦业时代领海
30,"合租,朝南,有电梯,3/5号线",3,高层(共30层)                                                            ,,高新区-大寨路 大寨路99号,恒大城,700,2,大寨路 昆明路 汉城南路地铁口 恒大城 金域牟嘉 旭景碧泽园
30,"合租,朝南,有电梯,3/5号线",3,中层(共28层)                                                            ,,高新区-科技六路 团结南路18号,盛景园,750,2,真实延平门地铁口 团结南路 大寨路 晶鑫广场 高新六路
31,"合租,朝南,有电梯,6号线",3,低层(共25层)                                                            ,,高新区-唐延路 科技四路2号,天地源枫林绿洲,980,2,月付直租飘窗主卧雁塔 科技四路 西安文理 6号线木塔寺 万达
25,"合租,朝南,有电梯,3/5号线",3,中层(共30层)                                                            ,,高新区-科技六路 团结南路18号,盛景园,650,1,融侨城 中间群贤汇 东方米兰 枫林华府 卡布奇诺公馆 盛景园
25,"合租,朝南,有电梯,3/5号线",4,中层(共34层)                                                            ,,"高新区-大寨路 大寨路,近丈八北路",铭城(西区),650,0,月付直租 鱼化寨地铁口 环普 大寨路 铭城 中航华府
15,"合租,朝南,3/5号线",3,低层(共7层)                                                            ,,高新区-科技路 沣惠南路130号,公安莲湖分局家属院,650,2,劳动路玉祥门开元商城西关正街大庆路无中介费可月付可短租
25,"合租,朝南,有电梯,3号线",3,低层(共32层)                                                            ,,"高新区-大寨路 科技西路,近丈八北路辅路",金辉高新云璟,900,2,月付实拍 高档小区 丈八北路 外事学院 高新云璟 天朗蓝湖树
20,"合租,南北,有电梯,3号线",4,低层(共28层)                                                            ,,"高新区-大寨路 科技西路,近丈八北路辅路",金辉高新云璟,550,1,丈八北路 地铁口 精装修 可短租 独卫 次卧 科技路
25,"合租,朝南,有电梯,3/5号线",3,中层(共32层)                                                            ,,高新区-大寨路 丈八北路575号,旭景碧泽园,600,2,可月付，飘窗次卧，丈八北路地铁口，大寨路，莱安逸辉，晶鑫广场
25,"合租,朝南,有电梯,3/5号线",2,高层(共20层)                                                            ,,"高新区-昆明路 沣惠南路,近昆明路",牡丹庄园,750,1,可月付 金光门地铁口 太和时代广场 昆明路 延平门迪特口
40,"合租,朝南,有电梯",2,中层(共32层)                                                            ,,高新区-科技四路西段 高新六路43号,绿港花园,999,2,科技四路 绿港花园 超大主卧带阳台 立人科技 南窑头
18,"合租,朝南,有电梯,3号线",4,低层(共33层)                                                            ,,"高新区-大寨路 科技西路,近丈八北路辅路",金辉高新云璟,550,1,单间直租 高新云璟 蓝湖树 风韵蓝湾 伟业公馆 风度天城
30,"合租,朝南,有电梯,3/5号线",3,高层(共33层)                                                            ,,高新区-大寨路 团结南路200号,中建国熙台,860,1,丈八北路地铁口 团结南路 高新医院 中晶科技广场国 西熙台
36,"合租,朝南,有电梯,3/5号线",3,中层(共33层)                                                            ,,"高新区-大寨路 大寨路,近无名路",晶鑫华庭,900,2,可月付 太和时代晶鑫华庭 超大南向主卧带落地全景阳台 可做饭
30,"合租,朝南,有电梯,3/5号线",3,高层(共32层)                                                            ,,"高新区-大寨路 创新路,近大寨路",融侨城(东区一期),780,2,月付 延平门 融侨城 华府新桃园 牡丹庄园 中华世纪城 多套
36,"合租,朝南,有电梯,3号线",3,中层(共33层)                                                            ,,高新区-科技西路 科技路82号,城市风景都市印象,900,2,丈八北路 都市印象主卧独卫 次卧飘窗 朝南 可月付 2间一起
29,"合租,朝南,有电梯,3/5号线",3,高层(共33层)                                                            ,,"高新区-大寨路 大寨路,近无名路",晶鑫华庭,830,1,全女神 大寨路 晶鑫华庭 红枫林 东方米兰 莱安逸珲 可月付
20,"合租,朝南,有电梯,3/5号线",3,高层(共33层)                                                            ,,"高新区-大寨路 团结南路,近大寨路",中建群贤汇,600,2,延平门地铁口 西安大都荟 禾盛京广中心 旺座国际 金桥国际
20,"合租,南北,有电梯,3/5号线",2,高层(共30层)                                                            ,,"高新区-大寨路 团结南路,近大寨路",中建群贤汇,620,1,群贤汇 三室合租 厨房 月付 可短租 地铁 阳台 飘窗 独卫
30,"合租,朝南,有电梯,3/5号线",3,高层(共33层)                                                            ,,高新区-鱼化寨 鱼跃路,绿地国际花都(北区),900,1,押一付一 鱼化寨地铁口 环普 华为 阿里巴巴直达 多套可挑
15,"合租,朝南,有电梯,6号线",5,高层(共32层)                                                            ,,高新区-科技六路 双水磨路,保利双水磨小区,600,0,直租单间  保利双水磨 科技五路 无押金
27,"合租,朝南,有电梯,3/5号线",3,中层(共32层)                                                            ,,高新区-大寨路 大寨路99号,恒大城,980,2,汉城南路地铁口 大寨路 主卧大阳台 腾飞科汇城 唐沣国际
23,"合租,朝南,有电梯,3/5号线",3,低层(共32层)                                                            ,,高新区-大寨路 团结南路200号,中建国熙台,699,2,延平门地铁口 团结南路 中晶科技广场 零壹广场 启迪中心直租
25,"合租,朝南,有电梯,3/5号线",3,高层(共23层)                                                            ,,高新区-大寨路 丈八北路575号,旭景碧泽园,650,1,首月免租金丈八北路地铁口 土门 外事学院 北窑头 西安大都荟
26,"合租,朝南,有电梯",2,中层(共32层)                                                            ,,高新区-鱼化寨 鱼斗路,兴贺佳苑,600,1,直租月付 环普 中软欧森 华为腾飞 阿里巴巴 软件新城雷家寨
33,"合租,朝南,有电梯,3/5号线",3,高层(共33层)                                                            ,,"高新区-大寨路 大寨路,近无名路",晶鑫华庭,800,2,押一付一 全女生 莱安逸辉 东方米兰 晶鑫华庭 融侨城
30,"合租,南北,有电梯,3号线",3,高层(共33层)                                                            ,,高新区-科技路西口 科技路299号,伟业公馆,650,2,厨房套间阳台 金辉高新云璟 陈家庄小区 伟业公馆 天朗蓝湖树
25,"合租,朝南,有电梯,3号线",3,高层(共32层)                                                            ,,"高新区-大寨路 科技西路,近丈八北路辅路",金辉高新云璟,850,2,主卧合租 大窗阳台采光好 丈八北路地铁口 高新医院 无杂费
25,"合租,南北,有电梯,3/5/6号线",3,中层(共30层)                                                            ,,"高新区-科技路 科技路,近高新四路",高新大都荟,990,3,大都荟 主卧独卫 地铁 三号线 延平门地铁口 合租 拎包入住
23,"合租,朝南,有电梯,6号线",3,低层(共16层)                                                            ,,高新区-唐延路 科技四路2号,天地源枫林绿洲,820,1,木塔寺地铁口 旺座现代城 实墙主卧带独立卫浴 科技四路
28,"合租,朝南,有电梯,1/5号线",3,低层(共33层)                                                            ,,"高新区-昆明路 汉城南路,近汉城东路",金辉优步花园,599,2,月付汉城南路地铁口 旭景新港 药厂十字 金辉优步花园当代宏府
28,"合租,南北,有电梯,3/5号线",4,低层(共33层)                                                            ,,高新区-大寨路 大寨路,中航华府,500,0,月付鱼化寨大寨路外事学院精美主卧单间多套拎包入住中航华府
36,"合租,朝南,有电梯,3/5号线",3,中层(共33层)                                                            ,,"高新区-大寨路 创新路,近大寨路",融侨城(东区一期),900,2,减免租金一个月太和时代 融侨城 主卧独卫朝南大落地窗 可月付
35,"合租,朝南,有电梯,3号线",3,中层(共33层)                                                            ,,高新区-科技路西口 唐兴路21号,都市春天,950,2,都市春天 唐兴路 唐兴数码 拎包入住 高新医院 睿中心
30,"合租,朝南,有电梯,3/5/6号线",3,中层(共30层)                                                            ,,高新区-科技路 科技路18号,新科大厦,950,1,科技路地铁口 徐家庄 西电科技园  拎包入住 精装全配无中介
20.2,"合租,朝南,有电梯,3/5号线",3,高层(共32层)                                                            ,,"高新区-科技路西口 科技路,近丈八北路",都市印象SOLO街区,600,1,可月付免租一月 丈八北路地铁口 外事学院 华润万家 主卧独卫
17,"合租,朝南,有电梯,3/5号线",4,低层(共33层)                                                            ,,高新区-大寨路 纬一路,华洲城云顶,399,1,押一付一 鱼化寨地铁口 环普产业园 绿地鸿海大厦 欣桥市场
25,"合租,朝南,有电梯,3号线",3,中层(共33层)                                                            ,,"高新区-大寨路 科技西路,近丈八北路辅路",金辉高新云璟,600,1,实图月付 丈八北路地铁口 外事学院 大寨子村 高新云璟
20,"合租,朝南,有电梯,3号线",4,中层(共32层)                                                            ,,高新区-科技西路 科技路82号,城市风景都市印象,699,2,（月付别犹豫）丈八北路跌口 外事学院 利军明天 枫韵蓝湾
21,"合租,朝南,有电梯,6号线",5,低层(共33层)                                                            ,,高新区-丈八西路 丈八四路,丈八一号,800,0,丈八四路 现代企业中心 罗马景福城 丈八一号 精装主卧月付
37,"合租,朝南,有电梯,6号线",5,中层(共18层)                                                            ,,"高新区-锦业路 丈八六路,近科技八路",盛泽万家灯火,750,0,丈八六路 现代企业中心 中软环普华为 万家灯火 超大主卧月付
30,"合租,朝南,有电梯,6号线",3,中层(共26层)                                                            ,,高新区-逸翠园 锦业二路10号,逸翠园(别墅),600,2,中兴产业园 高新第五季 南沈新苑 海亮新英里 逸翠园月付直租
29,"合租,朝南,有电梯,3/5号线",5,高层(共34层)                                                            ,,高新区-大寨路 经十三路,华洲城熙悦都,500,0,直租无套路 多套精美单间主卧独卫 鱼化寨 西窑头 欣桥市场
26,"合租,朝南,有电梯,6号线",5,高层(共35层)                                                            ,,高新区-丈八西路 丈八四路,丈八一号,900,0,丈八四路地铁口 陕西大会堂 嘉昱大厦 丈八一号 朝南卧室
26,"合租,朝南,有电梯,3/5号线",3,高层(共28层)                                                            ,,高新区-科技六路 团结南路18号,盛景园,720,1,可月付 团结南路 大寨路 高新医院 实墙带阳台 中华世纪城
40,"合租,朝南,有电梯,3/5号线",3,高层(共33层)                                                            ,,"高新区-大寨路 团结南路,近无名路",高新枫林华府,980,1,主卧独卫 5号线汉城南路地铁口 安琪儿医院 大寨路 丈八北路
15,"合租,朝南,3/5/6号线",3,中层(共6层)                                                            ,,高新区-高新路 高新路50号,皇家花园,699,1,特价空调房 科技路地铁口 高新一中 尚中心 自习室 三户合租
20,"合租,朝南,有电梯,3/5号线",3,高层(共33层)                                                            ,,"高新区-科技六路 南二环路,近丰登路",高新左岸,666,1,金光门地铁口 丰庆公园 高新左岸 三室合租 带厨房
30,"合租,朝南,有电梯,3号线",3,高层(共32层)                                                            ,,高新区-鱼化寨 鱼斗路158号,复地优尚国际,839,1,可月付 鱼化寨地铁口 环普直达 欧森国际 复地优尚 石桥欣苑
25,"合租,朝南,有电梯,3/5号线",3,高层(共34层)                                                            ,,高新区-大寨路 科技路298号,响塘文苑,599,1,押一付一 丈八北路地铁口 枫韵蓝湾 伟业公馆 紫薇臻品 铂悦
28,"合租,朝南,有电梯,3/5号线",2,低层(共18层)                                                            ,,"高新区-昆明路 沣惠南路,近昆明路",牡丹庄园,880,1,5号线牡丹庄园金光门地铁口50米全女生包物业宽带三室合租干净
20,"合租,朝南,有电梯,3/5号线",4,低层(共33层)                                                            ,,高新区-大寨路 纬一路,华洲城云顶,400,1,直租月付 鱼化寨 金泰怡景 云顶 押一付一 私信或电话联系
30,"合租,朝南,有电梯,3/5号线",4,共5层                                                            ,,高新区-科技路中段 科技路西段239号,中华世纪城,800,2,延平门地铁口 旺座国际城 中华世纪城 紫薇臻品 新西蓝
30,"合租,朝南,有电梯,3/5号线",3,中层(共32层)                                                            ,,高新区-大寨路 大寨路2号,东方米兰,880,1,月付大寨路 东方米兰 晶鑫华庭 华府新桃园 盛景园 三室合租
27,"合租,朝南,有电梯,3号线",3,高层(共33层)                                                            ,,高新区-鱼化寨 西三环,鸿锦城罗曼尼,400,2,押一付一 环普产业园 鱼化寨地铁口 东方米兰国际城 罗曼尼
30,"合租,朝南,有电梯,3/5号线",3,高层(共30层)                                                            ,,高新区-科技六路 团结南路18号,盛景园,790,1,大寨路 丈八北路 金光门 中华世纪城 无中介 拎包入住可做饭
30,"合租,朝南,有电梯,6号线",3,中层(共30层)                                                            ,,高新区-丈八西路 丈八西路,西滩村安置小区,850,1,西沙湖花园 华为西安研究所 腾飞科汇城 软件新城 瞪羚谷
16,"合租,朝南,有电梯,3/5号线",4,低层(共33层)                                                            ,,高新区-大寨路 经十三路,华洲城熙悦都,399,1,鱼化寨 西三环 西窑头 石桥欣苑 东方米兰国际城 中航华府
20,"合租,朝南,有电梯,6号线",3,低层(共32层)                                                            ,,高新区-木塔寺公园 科技六路6号,建邦华庭,598,1,月付 文理学院 木塔寺 太白南路 沙井村 荣禾云图 兰岛广场
20,"合租,朝南,有电梯,3/5号线",4,高层(共33层)                                                            ,,高新区-大寨路 大寨路1号,华府新桃园,500,1,月付短租 延平门地铁口 太和时代广场 金辉国际 东方米兰
20,"合租,朝南,有电梯,3/5号线",3,低层(共26层)                                                            ,,高新区-昆明路 丈八北路709号,爱西华庭,460,1,实图 爱西华庭 丈八北路 汉城南路地铁口 环普产业园 大寨路
15,"合租,朝南,3/5/6号线",3,中层(共6层)                                                            ,,高新区-高新路 高新路50号,皇家花园,700,1,实拍 科技路地铁口 高新一中 世纪金花 金鹰广场 知一自习室
25,"合租,朝南,有电梯,3/5号线",3,高层(共34层)                                                            ,,高新区-大寨路 纬一路,华洲城云顶,500,2,直租单间 华洲城云顶 无押金
35,"合租,朝南,有电梯",2,中层(共32层)                                                            ,,高新区-科技四路西段 高新六路43号,绿港花园,900,2,押一付一主卧飘窗 科技四路 立人科技 高新新天地 绿港花园
20,"合租,朝南,有电梯,5号线",3,高层(共17层)                                                            ,,高新区-昆明路 昆明路,昆明时光3区,500,1,石桥立交地铁口 吾悦广场 君和天玺 昆明时光 紫薇西塘可月付
35,"合租,朝南,有电梯,6号线",3,高层(共31层)                                                            ,,"高新区-丈八西路 科技八路,近丈八六路",罗马西西里,667,2,直租 押一付一 环普 数字出版基地 西三环 华为研究所 朝南
25,"合租,朝南,有电梯,3号线",4,低层(共12层)                                                            ,,高新区-科技路中段 科技路298号,紫薇臻品,850,2,独卫丈八北路地铁口 高新医院 西安软件园 紫薇臻品 配套齐全
30,"合租,朝南,有电梯,3/5号线",3,中层(共32层)                                                            ,,高新区-大寨路 大寨路99号,恒大城,600,0,实图月付 大寨路 高新医院  恒大城  中航华府  铭城国际
12,"合租,朝南,有电梯,3/5号线",4,高层(共33层)                                                            ,,高新区-大寨路 团结南路,融侨城(西区二三四期),450,2,团结南路 太和时代广场 金光门地铁口 精装次卧 拎包入住
25,"合租,朝南,有电梯,3号线",3,中层(共30层)                                                            ,,高新区-科技路西口 鱼化寨街,左岸春天,700,1,可月付 外事学院 左岸春天 天朗蓝湖树 鱼化寨 招干净室友
21,"合租,朝南,有电梯,3/5号线",3,中层(共31层)                                                            ,,"高新区-科技西路 科技路,近科技西路",枫韵蓝湾,655,2,西辛庄 朝南 丈八北路 外事学院 高新医院 唐兴路 科技路西
28,"合租,朝南,有电梯,3/5号线",3,低层(共32层)                                                            ,,"高新区-大寨路 大寨路,近无名路",晶鑫华庭,760,1,可月付 大寨路 晶鑫华庭 三家合租 朝南主卧 东方米兰无中介
20,"合租,朝南,3/5/6号线",5,高层(共7层)                                                            ,,高新区-高新四路 高新四路,天然气公司家属院(高新四路),800,0,天然气公司家属院高新四路800元新西兰大都荟南二环丰庆旺座国
27,"合租,朝南,有电梯,3/5/6号线",3,高层(共23层)                                                            ,,高新区-科技路 科技路20号,萨菲尔名邸,600,2,太白南路地铁口科技路地铁口之间 徐家庄 二十所 西安培华
28,"合租,朝南,有电梯,6号线",4,中层(共33层)                                                            ,,高新区-科技六路 双水磨路,保利双水磨小区,650,2,丈八北路环普产业园远西安软件园高新医院南窑头社区绿港花园
20,"合租,朝南,有电梯,3/5号线",3,中层(共30层)                                                            ,,高新区-昆明路 创新路南段80号,黄金嘉园,890,2,延平门，金光门地铁口，无任何杂费，直租房
35,"合租,朝南,有电梯,3/5/6号线",3,高层(共33层)                                                            ,,高新区-高新四路 高新三路2号,海佳云顶,599,2,短租，月付，高新四路 丰庆公园地铁口 财富中心 西安大都荟
90,"整租,南北,有电梯,6号线",3,高层(共30层)                                                            ,,高新区-木塔寺公园 科技六路,木塔永和坊,3400,1,科技六路 高新万达 洛克大厦 旺座现代城 木塔寺地铁口甘家寨
31,"合租,朝南,有电梯,3/5号线",4,低层(共28层)                                                            ,,"高新区-科技西路 科技路,近科技西路",枫韵蓝湾,600,0,直租单间  丈八北路地铁口枫韵蓝湾交通方 无押金
25,"合租,朝南,有电梯,3/5号线",3,高层(共33层)                                                            ,,"高新区-大寨路 大寨路,近丈八北路",铭城(西区),600,2,外事学院 铭城 西窑头 鱼化寨 恒大城 华洲城 精装全配
26.4,"合租,朝南,有电梯,3/5号线",3,中层(共33层)                                                            ,,"高新区-科技路西口 科技路,近高新六路",铂悦,650,2,丈八北路地铁口 外事学院 万象汇 大茂城 天朗蓝湖树 无中介
15,"合租,朝南,有电梯,3/5号线",3,中层(共32层)                                                            ,,高新区-大寨路 团结南路,融侨城(西区二三四期),450,1,月付 旺座国际 新西蓝 唐延路 延平门 华府新桃园
65,"整租,朝南,有电梯,6号线",1,中层(共32层)                                                            ,,高新区-木塔寺公园 科技六路,木塔永和坊,1800,1,科技六路 木塔寺公园地铁口 甘家寨 兰岛广场 太白里 木塔寨
55,"整租,朝南,有电梯,6号线",1,低层(共30层)                                                            ,,高新区-木塔寺公园 木塔寺路,万达长安龙胤,1800,1,新长安广场 锦业路 枫林绿洲 太白南路 木塔南苑 香榭兰岛
23,"合租,朝南,有电梯,6号线",5,低层(共28层)                                                            ,,高新区-科技六路 双水磨路,保利双水磨小区,700,0,科技四路 保利双水磨 押一付一 多套 随时看房 主卧次卧都有
28,"合租,朝南,有电梯,3/5号线",3,中层(共18层)                                                            ,,高新区-科技路中段 科技路西段239号,中华世纪城,800,1,可月付 延平门地铁口 枫叶新都市 旺座国际 新西蓝 丹枫国际
35,"合租,南北,有电梯,3/5号线",3,高层(共30层)                                                            ,,高新区-大寨路 团结南路,融侨城(西区二三四期),720,2,融侨城 超大单间 主卧 阳台 地铁 独卫 月付 大床 双地铁
30,"合租,朝南,有电梯,3/5号线",3,高层(共36层)                                                            ,,高新区-大寨路 科技路298号,响塘文苑,599,1,丈八北路地铁口 科技路 中晶科技广场 西安高新医院 紫薇臻品
28,"合租,朝南,有电梯",5,中层(共33层)                                                            ,,高新区-鱼化寨 鱼斗路,兴贺佳苑,750,0,兴贺佳苑南飞鸿十年城中软国际环普万家灯火美寓华庭多套单间
25,"合租,朝南,有电梯,3号线",3,低层(共32层)                                                            ,,"高新区-大寨路 科技西路,近丈八北路辅路",金辉高新云璟,500,2,无押金 直租单间 金辉高新云景  伟业公馆 西辛庄
30,"合租,朝南,有电梯,3/5/6号线",3,中层(共32层)                                                            ,,"高新区-高新路 高新路,近科创路",枫叶大厦,850,1,科技路 甘家寨地铁 高新一中 枫叶大厦主卧 可月付 随时看房
20,"合租,朝南,有电梯,3/5号线",3,高层(共28层)                                                            ,,"高新区-昆明路 沣惠南路,近昆明路",牡丹庄园,600,2,可短租 土门 金光门地铁站 太和时代广场 金辉国际 5号线
33,"合租,朝南,有电梯,3/5号线",3,低层(共18层)                                                            ,,高新区-科技路中段 科技路西段239号,中华世纪城,850,2,延平门地铁口 中华世纪城 枫叶新都市 旺座国际 大都荟随时看
30,"合租,朝南,有电梯,3/5号线",3,中层(共32层)                                                            ,,高新区-大寨路 大寨路,中航华府,550,0,实拍月付鱼化寨大寨路中航华府多套精美单间主卧独卫阳台房伍佰起
25,"合租,朝南,3/6号线",5,共5层                                                            ,,"高新区-高新四路 枫林路,近科技一路",文华阁,780,1,延平门地铁口 可月付 和盛京广 旺座 精美卧室
30,"合租,朝南,有电梯,3/5号线",3,中层(共30层)                                                            ,,"高新区-大寨路 丰盛路,近大寨路",华洲城天峰,700,1,鱼化寨地铁 环普 绿地国际花都 无中介 可月付 拎包入住
28,"合租,朝南,有电梯,6号线",3,低层(共33层)                                                            ,,高新区-科技六路 高新路1219号,万达天樾,600,2,六号线省体育馆地铁口 主卧阳台精装修 押一付一包网物业 直租
26,"合租,朝南,有电梯,3/5号线",5,高层(共35层)                                                            ,,高新区-大寨路 经十三路,华洲城熙悦都,550,0,实拍月付鱼化寨西窑头双地铁口华洲城熙悦都多套精美单间低至伍佰
26,"合租,朝南,有电梯,3/5号线",3,中层(共29层)                                                            ,,高新区-大寨路 大寨路,中航华府,500,2,鱼化寨地铁 押一付一 绿地鸿海 大寨路 外事学院 铭城小学
32,"合租,朝南,有电梯,6号线",3,低层(共28层)                                                            ,,高新区-唐延路 科技四路2号,天地源枫林绿洲,926,2,月付 木塔寺地铁口 木塔寺公园 旺座现代城 文理学院枫林绿洲
28,"合租,南北,有电梯,6号线",4,高层(共34层)                                                            ,,高新区-科技六路 双水磨路,保利双水磨小区,780,0,直租无套路新长安广厂西安软件园科技六路精美阳台单间押一付一
30,"合租,朝南,有电梯",3,高层(共28层)                                                            ,,高新区-科技四路西段 高新六路43号,绿港花园,750,1,可月付！可短租！西安软件园 南窑头 科技四路 摩尔中心
23,"合租,朝南,有电梯,3/5号线",3,低层(共32层)                                                            ,,"高新区-科技西路 科技路,近科技西路",枫韵蓝湾,600,2,丈八北路地铁口伟业公馆 枫韵蓝湾美立方考试大厦左岸春天蓝湖树
18,"合租,朝南,有电梯,6号线",4,低层(共28层)                                                            ,,"高新区-丈八西路 丈八六路,近科技八路",高新逸品,650,1,环普 软件新城 数字出版基地 华为研究所 半导体 丈八六路
30,"合租,朝南,有电梯,3/5号线",3,中层(共23层)                                                            ,,"高新区-昆明路 沣惠南路,近昆明路",牡丹庄园,766,2,金光门地铁口  牡丹庄园 三户合租太和时代广场 押一付一
38,"合租,朝南,有电梯,3/5号线",3,中层(共22层)                                                            ,,高新区-大寨路 纬一路,华洲城云顶,650,1,月付直租 华洲城云顶 鱼化寨地铁口 欣桥市场 环普直达公交
25,"合租,朝西,有电梯,3号线",3,中层(共31层)                                                            ,,高新区-鱼化寨 鱼斗路158号,复地优尚国际,500,2,月付 环普 鱼化寨 西三环 东方米兰国际城 南飞鸿十年城
30,"合租,朝南,有电梯,3/5号线",3,中层(共32层)                                                            ,,高新区-大寨路 大寨路2号,东方米兰,750,2,全女神 大寨路 东方米兰 莱安逸辉 晶鑫广场 红枫林 融侨城
25,"合租,南北,有电梯,1/5号线",3,低层(共30层)                                                            ,,"高新区-昆明路 汉城南路,近汉城东路",金辉优步花园,599,2,汉城南路地铁口 华东万锦广场 金辉优步花园 旭景新港 月付
28,"合租,朝南,有电梯,3号线",3,中层(共30层)                                                            ,,高新区-科技路 团结南路2号,高科新花园,800,1,可月付 西安高新医院 中晶科技广场 中华世纪城 精装直租
20,"合租,朝南,有电梯,6号线",3,中层(共30层)                                                            ,,高新区-木塔寺公园 科技六路6号,建邦华庭,999,1,无中介费物业费管理费建邦华庭 南北通透 精装修 木塔寺地铁口
23,"合租,朝南,有电梯,6号线",3,中层(共33层)                                                            ,,高新区-木塔寺公园 科技六路6号,建邦华庭,600,2,太白南路科技六路蓝岛广场木塔寺体育医院枫林绿洲悦熙广场甘家寨
51.4,"整租,朝东,有电梯,6号线",1,中层(共30层)                                                            ,,高新区-木塔寺公园 高新路88号,尚品国际,1800,0,木塔寺地铁口 尚品国际 一室开间可主册 看房方便停车方便
20,"合租,朝南,有电梯,6号线",3,低层(共9层)                                                            ,,高新区-唐延路 科技四路2号,天地源枫林绿洲,600,2,可月付 木塔寺地铁口 科技六路 高新万达 蓝岛广场 望亭国际
20,"合租,朝南,有电梯,3/5号线",3,高层(共35层)                                                            ,,高新区-大寨路 大寨路2号,东方米兰,699,2,丈八北路地铁口 晶鑫商业广场 紫薇臻品 牡丹庄园
25,"合租,朝南,有电梯,3/5号线",3,中层(共33层)                                                            ,,高新区-大寨路 大寨路1号,华府新桃园,588,1,金光门地铁口太和时代广场融侨城沣惠南路融侨城中华世纪城大寨路
21,"合租,朝南,有电梯,3/5号线",3,高层(共27层)                                                            ,,"高新区-大寨路 团结南路,近无名路",高新枫林华府,380,1,枫林华府 融侨城 金光门地铁 交通方便 拎包入住 可月付短租
25,"合租,南北,有电梯,6号线",3,中层(共33层)                                                            ,,高新区-科技六路 双水磨路,保利双水磨小区,750,2,无押金 科技六路 保利双水磨 玫瑰公馆 拎包入住 精装全配
35,"合租,朝南,有电梯,3/5号线",3,高层(共32层)                                                            ,,高新区-大寨路 团结南路,融侨城(西区二三四期),550,2,月付，延平门，东方米兰，九形道，团结南路中华世纪城多套单间
27,"合租,朝南,有电梯,3号线",3,中层(共33层)                                                            ,,"高新区-大寨路 科技西路,近丈八北路辅路",金辉高新云璟,500,2,丈八北路地铁口 押一付一 西安高新医院 万象汇 大茂城 直租
36,"合租,朝南,有电梯,3号线",3,中层(共33层)                                                            ,,高新区-科技路西口 唐兴路21号,都市春天,900,2,减免租金一个月高新医院 都市春天主卧独卫朝南带飘窗 有厨房
65,"整租,朝南,有电梯,6号线",1,中层(共33层)                                                            ,,高新区-木塔寺公园 永阳一巷,木塔南苑,2100,1,高新万达 绿地中心 都市之门 汇鑫IBC 中投国际 华陆科技
